 H    + hν  , → , H⁺    + e⁻            , Photoionization ,
 C₂H₂⁺ + C₂H₂     , → , C₄H₃⁺ + H             , 5.88 × 10⁻¹⁰ , R113 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₄     , → , C₂H₄⁺ + C₂H₂          , 8.96 × 10⁻¹⁰ , R114 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₄     , → , C₃H₃⁺ + CH₃           , 2.80 × 10⁻¹⁰ , R115 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₄     , → , C₄H₅⁺ + H             , 2.24 × 10⁻¹⁰ , R116 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₂H₄⁺ + C₂H₄          , 2.63 × 10⁻¹⁰ , R117 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₂H₅⁺ + C₂H₃          , 1.31 × 10⁻¹⁰ , R118 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₃H₃⁺ + CH₃ +  H₂     , 8.76 × 10⁻¹¹ , R119 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₃H₄⁺ + CH₄           , 1.46 × 10⁻¹¹ , R120 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₃H₅⁺ + CH₃           , 7.88 × 10⁻¹⁰ , R121 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₄H₅⁺ + H   +  H₂     , 7.30 × 10⁻¹¹ , R122 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₆     , → , C₄H₇⁺ + H             , 1.31 × 10⁻¹⁰ , R123 in Kim and Fox [1994] 
 C₂H₃⁺ + H        , → , C₂H₂⁺ + H₂            , 1.00 × 10⁻¹⁰ , R124 in Kim and Fox [1994] 
 C₂H₃⁺ + CH₄      , → , C₃H₅⁺ + H₂            , 2.00 × 10⁻¹⁰ , R125 in Kim and Fox [1994] 
 C₂H₃⁺ + C₂H₂     , → , C₄H₃⁺ + H₂            , 2.16 × 10⁻¹⁰ , R126 in Kim and Fox [1994] 
 C₂H₃⁺ + C₂H₄     , → , C₂H₅⁺ + C₂H₂          , 9.30 × 10⁻¹⁰ , R127 in Kim and Fox [1994] 
 C₂H₃⁺ + C₂H₆     , → , C₂H₅⁺ + C₂H₄          , 2.91 × 10⁻¹⁰ , R128 in Kim and Fox [1994] 
 C₂H₃⁺ + C₂H₆     , → , C₃H₅⁺ + CH₄           , 2.48 × 10⁻¹⁰ , R129 in Kim and Fox [1994] 
 C₂H₃⁺ + C₂H₆     , → , C₄H₇⁺ + H₂            , 8.06 × 10⁻¹¹ , R130 in Kim and Fox [1994] 
 C₂H₄⁺ + H        , → , C₂H₃⁺ + H₂            , 3.0 × 10⁻¹⁰ , R131 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₂     , → , C₃H₃⁺ + CH₃           , 6.73 × 10⁻¹⁰ , R132 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₂     , → , C₄H₅⁺ + H             , 2.37 × 10⁻¹⁰ , R133 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₄     , → , C₃H₅⁺ + CH₃           , 7.19 × 10⁻¹⁰ , R134 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₄     , → , C₄H₇⁺ + H             , 7.11 × 10⁻¹¹ , R135 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₆     , → , C₃H₆⁺ + CH₄           , 3.71 × 10⁻¹³ , R136 in Kim and Fox [1994] 
 C₂H₄⁺ + C₂H₆     , → , C₃H₇⁺ + CH₃           , 4.93 × 10⁻¹² , R137 in Kim and Fox [1994] 
 C₂H₅⁺ + H        , → , C₂H₄⁺ + H₂            , 1.0 × 10⁻¹¹ , R138 in Kim and Fox [1994] 
 C₂H₅⁺ + CH₄      , → , C₃H₇⁺ + H₂            , 4.00 × 10⁻¹⁵ , R139 in Kim and Fox [1994] 
 C₂H₅⁺ + C₂H₂     , → , C₃H₃⁺ + CH₄           , 6.84 × 10⁻¹¹ , R140 in Kim and Fox [1994] 
